MCH1,eMCH1,MCH2,eMCH2
12.72,0.02,12.64,0.02
11.75,0.02,11.62,0.02
8.87,0.03,8.79,0.01
13.39,0.02,13.24,0.02
12.77,0.05,12.64,0.05
12.54,0.02,12.48,0.02
11.49,0.05,11.5,0.05
11.17,0.05,11.22,0.05
13.08,0.02,12.89,0.02
12.76,0.02,12.64,0.02
12.91,0.02,12.61,0.02
11.76,0.03,11.77,0.03
11.77,0.02,11.52,0.02
11.66,0.02,11.47,0.04
11.05,0.03,11.14,0.03
10.26,0.05,9.95,0.05
10.19,0.03,10.24,0.03
11.49,0.03,11.6,0.03
11.53,0.05,11.4,0.05
10.27,0.03,10.4,0.03
12.35,0.03,12.11,0.03
11.7,0.03,11.59,0.03
10.38,0.05,10.24,0.05
10.99,0.07,10.98,0.05
12.7,0.03,12.65,0.03
10.29,0.02,10.2,0.02
13.25,0.02,13.13,0.02
