Spec,distmod,edist,M36,eM36,M45,eM45
-99.9,1.41,0.07,19.65,1.5,16.88,0.5
6,-2.069,0.008,7.12,0.1,7.1,0.2
6.5,-2.203,0.024,6.84,0.2,6.84,0.4
6.5,1.12,0.17,10.32,0.2,10.35,0.1
6.5,-1.72,0.04,7.51,0.3,7.51,0.3
7,-1.01,0.07,8.47,0.3,8.49,0.3
7,-0.945,0.01,8.37,0.2,8.38,0.1
8,3.59,0.05,11.3,0.8,11,0.8
8,-1.154,0.01,8.29,0.2,8.3,0.3
8.5,-1.234,0.006,8.55,0.2,8.55,0.1
9,-1.52,0.05,8.87,0.3,8.79,0.1
9,-0.346,0.028,9.41,0.3,9.39,0.3
9,0.21,0.03,10.16,0.3,10.1,0.3
9.5,0.31,0.1,9.94,0.3,9.91,0.3
11,0.787,0.016,10.91,0.2,10.93,0.3
13,1.19,0.04,11.76,0.3,11.77,0.3
13.5,-0.288,0.015,10.19,0.3,10.24,0.3
14.5,0.322,0.028,11.05,0.3,11.14,0.3
15,0.59,0.06,11.49,0.3,11.6,0.3
15,-0.674,0.01,10.27,0.3,10.4,0.3
16,-0.201,0.026,10.99,0.7,10.98,0.5
17.5,0.139,0.023,11.7,0.3,11.59,0.3
18,-1.52,0.04,10.29,0.2,10.2,0.2
18,0.92,0.07,12.7,0.3,12.65,0.3
20,2.4,1.1,14.76,0.3,14.6,0.3
21,1.65,0.16,14.06,0.3,13.91,0.3
22,0.36,0.05,12.63,0.3,12.39,0.3
22.5,1.263,0.017,13.72,0.4,13.39,0.2
23.5,2.2,0.28,14.95,0.3,14.46,0.3
24.5,0.75,0.06,13.72,0.3,13.07,0.3
24.5,2.7,0.3,15.59,0.6,14.98,0.5
25,0.075,0.022,12.67,0.3,11.93,0.3
25.5,1.42,0.05,14.71,0.4,13.88,0.3
25.5,0.81,0.11,14.69,0.4,13.69,0.3
26,0.14,0.08,13.9,0.3,12.95,0.4
26,0.207,0.029,14.3,0.4,13.08,0.3
27,0.12,0.05,14.82,0.5,13.57,0.3
27,-1.066,0.023,13.1,0.4,11.64,0.5
27,0.12,0.09,14.39,0.6,12.95,0.5
27,0.21,0.05,14.19,0.4,13.23,0.3
27,0.09,0.11,14.39,0.3,12.93,0.3
27,0.83,0.07,14.53,0.5,13.6,0.3
27,-1.168,0.012,13.8,0.5,12.12,0.3
27,1.68,0.07,15.44,0.3,14.01,0.3
27,0.622,0.026,15.25,0.3,13.86,0.3
27.5,0.219,0.008,15.38,0.4,13.62,0.2
27.5,-1.267,0.017,14.01,0.5,12.23,0.3
28,-1.218,0.021,14.1,0.4,12.29,0.3
28,-0.256,0.017,14.41,0.3,13.01,0.3
28,-1.36,0.05,13.76,0.2,11.66,0.2
28.5,0.82,0.04,16.28,0.3,14.49,0.3
28.5,0,0.03,15.95,0.3,13.91,0.3
28.5,0.39,0.1,16.44,0.3,14.43,0.3
29,-1.926,0.021,14.28,0.5,12.19,0.4
29,-1.3,0.5,14.43,0.2,12.39,0.2
30,-2.7,0.8,16.73,0.4,14.23,0.2
