st1;st2;chi2;chi2error;offset
11;10;964.859064348;0.937978275617;0
11;10;965.393996416;0.937978275617;1
11;10;967.073486709;0.937978275617;2
11;10;970.01602192;0.937978275617;3
11;10;974.343457584;0.937978275617;4
11;10;980.186069863;0.937978275617;5
11;10;987.516736645;0.937978275617;6
11;10;996.189101901;0.937978275617;7
11;10;1006.03637181;0.937978275617;8
11;10;1016.80516568;0.937978275617;9
11;10;1028.24721622;0.937978275617;10
12;10;718.57708842;0.814886045084;0
12;10;719.086780844;0.814886045084;1
12;10;720.833427906;0.814886045084;2
12;10;724.244514839;0.814886045084;3
12;10;729.82467344;0.814886045084;4
12;10;738.10459883;0.814886045084;5
12;10;749.283039024;0.814886045084;6
12;10;763.251596893;0.814886045084;7
12;10;779.783130835;0.814886045084;8
12;10;798.440278522;0.814886045084;9
12;10;818.767518332;0.814886045084;10
12;11;531.469935305;0.660296918875;0
12;11;531.94705388;0.660296918875;1
12;11;533.428425145;0.660296918875;2
12;11;535.984046916;0.660296918875;3
12;11;539.67853525;0.660296918875;4
12;11;544.581970519;0.660296918875;5
12;11;550.644686983;0.660296918875;6
12;11;557.732623904;0.660296918875;7
12;11;565.704751726;0.660296918875;8
12;11;574.357298962;0.660296918875;9
12;11;583.493667339;0.660296918875;10
13;10;557.459754899;0.717987131246;0
13;10;557.668195412;0.717987131246;1
13;10;558.675572555;0.717987131246;2
13;10;561.286487148;0.717987131246;3
13;10;566.485103978;0.717987131246;4
13;10;575.302360996;0.717987131246;5
13;10;588.269146862;0.717987131246;6
13;10;605.403298312;0.717987131246;7
13;10;626.475359454;0.717987131246;8
13;10;650.91422136;0.717987131246;9
13;10;678.09524185;0.717987131246;10
13;11;384.233222733;0.563398005037;0
13;11;384.804548683;0.563398005037;1
13;11;386.659927839;0.563398005037;2
13;11;390.05833085;0.563398005037;3
13;11;395.293449217;0.563398005037;4
13;11;402.675561702;0.563398005037;5
13;11;412.270239781;0.563398005037;6
13;11;423.934241738;0.563398005037;7
13;11;437.460710568;0.563398005037;8
13;11;452.496549481;0.563398005037;9
13;11;468.684428181;0.563398005037;10
13;12;298.825244778;0.453950790356;0
13;12;299.234338244;0.453950790356;1
13;12;300.494798191;0.453950790356;2
13;12;302.645788009;0.453950790356;3
13;12;305.716955283;0.45404768927;4
13;12;309.741436944;0.454338386012;5
13;12;314.661759961;0.454919779495;6
13;12;320.36091872;0.455791869719;7
13;12;326.72251316;0.457222145248;8
13;12;333.584813376;0.459353921352;9
13;12;340.793766745;0.462174852327;10
14;10;451.233978352;0.641947850598;0
14;10;451.032436821;0.641947850598;1
14;10;450.971030674;0.641947850598;2
14;10;452.232876452;0.641947850598;3
14;10;456.288376658;0.641947850598;4
14;10;464.675166578;0.641947850598;5
14;10;478.279981598;0.641947850598;6
14;10;497.279156117;0.641947850598;7
14;10;521.469296365;0.641947850598;8
14;10;550.181176771;0.641947850598;9
14;10;582.653759511;0.641947850598;10
14;11;288.89995664;0.48735872439;0
14;11;289.371628479;0.48735872439;1
