st1;st2;st3;st4;chi2;chi2error;offset
11;10;10;10;132372.148821;38.9651635024;0
11;10;10;10;132348.032866;38.9531311423;1
11;10;10;10;132286.60971;38.9162777272;2
11;10;10;10;132222.140003;38.8568107359;3
11;10;10;10;132225.235845;38.781733743;4
11;10;10;10;132340.617228;38.6948722237;5
11;10;10;10;132576.949815;38.5982835783;6
11;10;10;10;132946.493062;38.4967563306;7
11;10;10;10;133481.223843;38.399048967;8
11;10;10;10;134238.719466;38.3181713592;9
11;10;10;10;135233.238819;38.2597806049;10
12;10;10;10;116426.043956;36.833157287;0
12;10;10;10;116360.652098;36.8115441105;1
12;10;10;10;116192.62842;36.7453460114;2
12;10;10;10;116006.037053;36.6385281826;3
12;10;10;10;115952.755984;36.5036708238;4
12;10;10;10;116145.268423;36.3476454609;5
12;10;10;10;116625.890548;36.1741477075;6
12;10;10;10;117426.94963;35.9917789692;7
12;10;10;10;118602.852199;35.8162717135;8
12;10;10;10;120245.14812;35.6709949764;9
12;10;10;10;122371.238086;35.5661103427;10
12;10;10;11;99557.0685039;33.4502294586;0
12;10;10;11;101439.407848;33.7678608218;1
12;10;10;11;103338.466885;34.0484542268;2
12;10;10;11;105266.17175;34.2928033695;3
12;10;10;11;107283.431134;34.5096807385;4
12;10;10;11;109423.644523;34.703536446;5
12;10;10;11;111672.758536;34.8761890718;6
12;10;10;11;114040.844021;35.0352055652;7
12;10;10;11;116564.065453;35.1924027348;8
12;10;10;11;119325.389964;35.3657551669;9
12;10;10;11;122371.238086;35.5661103427;10
12;11;10;10;97576.0012859;33.733863695;0
12;11;10;10;95370.6669826;33.3850383389;1
12;11;10;10;93162.8860344;33.0089021508;2
12;11;10;10;91025.2876773;32.6103843418;3
12;11;10;10;89059.7106107;32.1988692481;4
12;11;10;10;87338.5147773;31.7798243341;5
12;11;10;10;85890.5214258;31.3567648468;6
12;11;10;10;84723.0091588;30.9345381247;7
12;11;10;10;83861.1874079;30.5240338073;8
12;11;10;10;83341.9365474;30.1410055088;9
12;11;10;10;83146.4307902;29.7892718198;10
12;11;10;11;80786.1767613;30.3509358667;0
12;11;10;11;80781.2923722;30.3413550502;1
12;11;10;11;80773.5583776;30.3120103662;2
12;11;10;11;80782.3234864;30.2646595287;3
12;11;10;11;80848.3363498;30.2048791628;4
12;11;10;11;80995.6973374;30.1357153192;5
12;11;10;11;81223.3744072;30.0588062112;6
12;11;10;11;81532.5272717;29.9779647206;7
12;11;10;11;81938.8719188;29.9001648286;8
12;11;10;11;82474.7012433;29.8357656992;9
12;11;10;11;83146.4307902;29.7892718198;10
13;10;10;10;105034.925082;35.1548296975;0
13;10;10;10;104923.274288;35.125674447;1
13;10;10;10;104635.353918;35.0363760434;2
13;10;10;10;104308.480528;34.8922833622;3
13;10;10;10;104174.121933;34.7103665545;4
13;10;10;10;104418.158507;34.499895015;5
13;10;10;10;105126.079452;34.2658539682;6
13;10;10;10;106352.437061;34.0198463423;7
13;10;10;10;108167.403653;33.7830945629;8
13;10;10;10;110681.867408;33.5871224597;9
13;10;10;10;113910.580848;33.445637576;10
13;10;10;11;89085.7248334;31.7719018691;0
13;10;10;11;90775.1617439;32.0819911583;1
13;10;10;11;92457.3170152;32.3394842588;2
13;10;10;11;94185.2693988;32.5465585491;3
13;10;10;11;96082.2050875;32.7163764692;4
13;10;10;11;98236.0919668;32.8557860001;5
13;10;10;11;100659.923077;32.9678953326;6
13;10;10;11;103374.956418;33.0632729383;7
13;10;10;11;106428.755599;33.1592255842;8
13;10;10;11;109924.900936;33.2818826502;9
13;10;10;11;113910.580848;33.445637576;10
13;10;10;12;79054.8513245;29.0782316069;0
13;10;10;12;81718.9854812;29.6584457626;1
13;10;10;12;84536.8794232;30.1920730312;2
13;10;10;12;87502.4716594;30.6787654737;3
13;10;10;12;90659.715484;31.1286536243;4
13;10;10;12;94024.6311146;31.5466574032;5
13;10;10;12;97557.425528;31.9343904055;6
13;10;10;12;101256.73256;32.3015974126;7
13;10;10;12;105154.659224;32.6624673319;8
13;10;10;12;109349.172336;33.0388341905;9
13;10;10;12;113910.580848;33.445637576;10
13;11;10;10;86804.3144442;32.0555361055;0
13;11;10;10;84728.0123109;31.6991686754;1
13;11;10;10;82575.1700449;31.2999321828;2
13;11;10;10;80459.7949439;30.8641395214;3
13;11;10;10;78548.7324555;30.4055649789;4
13;11;10;10;76972.1968109;29.9320738882;5
13;11;10;10;75791.0065667;29.4484711076;6
13;11;10;10;75030.818664;28.9626054978;7
13;11;10;10;74731.6899302;28.4908566566;8
13;11;10;10;74947.2419485;28.057132992;9
13;11;10;10;75655.1618105;27.6687990531;10
13;11;10;11;70934.2651223;28.6726082771;0
13;11;10;11;70911.7694066;28.6554853867;1
13;11;10;11;70861.9670201;28.6030403982;2
13;11;10;11;70833.4849262;28.5184147083;3
13;11;10;11;70914.7661989;28.4115748936;4
13;11;10;11;71168.9367297;28.2879648733;5
13;11;10;11;71610.8351866;28.1505124719;6
13;11;10;11;72248.961743;28.0060320938;7
13;11;10;11;73109.5131335;27.8669876779;8
13;11;10;11;74242.7983282;27.7518931825;9
13;11;10;11;75655.1618105;27.6687990531;10
13;11;10;12;60966.4158663;25.9789380149;0
13;11;10;12;62119.8457157;26.2319399911;1
13;11;10;12;63311.6553243;26.4556291707;2
13;11;10;12;64546.3467503;26.6506216329;3
13;11;10;12;65856.921644;26.8238520486;4
13;11;10;12;67259.1020861;26.9788362764;5
13;11;10;12;68736.0543706;27.1170075449;6
13;11;10;12;70286.5040819;27.2443565681;7
13;11;10;12;71928.1574781;27.3702294257;8
13;11;10;12;73708.8912665;27.5088447229;9
13;11;10;12;75655.1618105;27.6687990531;10
13;12;10;10;74881.4941901;29.5877107761;0
13;12;10;10;71295.5044594;28.9707992959;1
13;12;10;10;67780.5799019;28.3247733192;2
13;12;10;10;64429.4431175;27.6567133432;3
13;12;10;10;61355.4999451;26.977848936;4
13;12;10;10;58640.8124876;26.294927441;5
13;12;10;10;56319.2385872;25.6126100985;6
13;12;10;10;54390.1170644;24.9357565779;7
13;12;10;10;52869.5580789;24.2768903553;8
13;12;10;10;51774.5554349;23.6538560275;9
13;12;10;10;51063.7251318;23.0689675083;10
13;12;10;11;59074.4691211;26.2047829477;0
13;12;10;11;57743.5141269;25.9271160072;1
13;12;10;11;56437.5027733;25.6278815346;2
13;12;10;11;55198.7926632;25.31098853;3
13;12;10;11;54086.1787371;24.9838588507;4
13;12;10;11;53139.178615;24.6508184261;5
13;12;10;11;52366.7839404;24.3146514628;6
13;12;10;11;51764.0263406;23.9791831738;7
13;12;10;11;51340.1220022;23.6530213766;8
13;12;10;11;51111.9333524;23.348616218;9
13;12;10;11;51063.7251318;23.0689675083;10
13;12;10;12;49156.8031868;23.5111126855;0
13;12;10;12;49162.0026382;23.5035706115;1
13;12;10;12;49181.9053516;23.480470307;2
13;12;10;12;49226.7000498;23.4431954546;3
13;12;10;12;49318.684309;23.3961360058;4
13;12;10;12;49469.5150863;23.3416898292;5
13;12;10;12;49673.3235144;23.2811465358;6
13;12;10;12;49925.5981577;23.2175076481;7
13;12;10;12;50232.6115284;23.1562631244;8
13;12;10;12;50611.326863;23.1055677583;9
13;12;10;12;51063.7251318;23.0689675083;10
14;10;10;10;96812.6615502;33.8377992216;0
14;10;10;10;96656.2178372;33.8027254953;1
14;10;10;10;96252.0155456;33.6952996384;2
14;10;10;10;95787.8251892;33.5219563408;3
14;10;10;10;95567.2047529;33.3031106709;4
14;10;10;10;95846.002182;33.0499136978;5
14;10;10;10;96753.8773419;32.7683626399;6
14;10;10;10;98366.7881778;32.4724158037;7
14;10;10;10;100766.112346;32.187603738;8
14;10;10;10;104073.345255;31.951849567;9
14;10;10;10;108298.002007;31.7870057447;10
14;10;10;11;81585.2345596;30.4548713933;0
14;10;10;11;83114.8033096;30.7590422066;1
14;10;10;11;84604.5525018;30.9984078538;2
14;10;10;11;86148.5197906;31.1762315276;3
14;10;10;11;87928.3960752;31.3091205856;4
14;10;10;11;90087.3413516;31.4058046829;5
14;10;10;11;92669.864335;31.4704040042;6
14;10;10;11;95709.9669438;31.5158423997;7
14;10;10;11;99262.9914964;31.5637347593;8
14;10;10;11;103444.125958;31.6466097574;9
14;10;10;11;108298.002007;31.7870057447;10
14;10;10;12;72129.0759903;27.7612011311;0
14;10;10;12;74541.7128492;28.3354968109;1
14;10;10;12;77106.5865375;28.8509966263;2
14;10;10;12;79851.0339891;29.3084384522;3
14;10;10;12;82866.6957225;29.7213977407;4
14;10;10;12;86213.0190456;30.096676086;5
14;10;10;12;89871.6500211;30.4368990772;6
14;10;10;12;93847.0694651;30.754166874;7
14;10;10;12;98176.4346306;31.0669765071;8
14;10;10;12;102970.116575;31.4035612978;9
14;10;10;12;108298.002007;31.7870057447;10
14;10;10;13;66349.5173477;25.6407283643;0
14;10;10;13;69170.785477;26.4276678971;1
14;10;10;13;72311.9953507;27.1605421223;2
14;10;10;13;75752.9251008;27.8381009704;3
