st1;st2;chi2;chi2error;offset
11;10;49422.4047105;22.9916235722;0
12;10;33655.2708356;19.1751302769;0
12;11;21316.5148246;14.4375958086;0
13;10;24125.5554646;16.1880289826;0
13;11;12929.8709158;11.4504945144;0
13;12;8471.76212883;7.92225351822;0
14;10;18449.7314558;13.8786381333;0
14;11;8137.77950076;9.14110366508;0
14;12;4385.89382111;5.71910383013;0
14;13;4231.27517237;5.85131742233;0
15;10;15089.2021813;12.1031363782;0
15;11;5456.67994331;7.36560190993;0
15;12;2247.75145384;4.09021762088;0
15;13;2518.09572264;4.62542754036;0
15;14;4401.43555963;6.1737276169;0
16;10;13098.2029848;10.7378580165;0
16;11;3988.13063364;6.03046130971;0
16;12;1196.71099819;2.95614576391;0
16;13;1793.83200723;3.85994361111;0
16;14;3929.8098164;5.67044567293;0
16;15;6564.7782363;7.2012085324;0
17;10;11911.8174034;9.70978584603;0
17;11;3205.86658873;5.08531834719;0
17;12;737.395285481;2.24501626472;0
17;13;1587.28219936;3.52812405491;0
17;14;3918.67864692;5.45997200786;0
17;15;6703.88847596;7.05522813152;0
17;16;9432.55324572;8.32560409809;0
18;10;11197.896554;8.96469296748;0
18;11;2808.5442289;4.43717132823;0
18;12;593.078382979;1.92685753909;0
18;13;1640.98815989;3.48250112306;0
18;14;4125.4802486;5.5033773546;0
18;15;7028.3927955;7.18215089767;0
18;16;9847.56548695;8.497631538;0
18;17;12378.2563163;9.51825641057;0
19;10;10762.7821303;8.52151196803;0
19;11;2626.9179709;4.18737256246;0
19;12;614.023809356;1.9513460237;0
19;13;1820.4828339;3.7033312832;0
19;14;4427.5526813;5.81582825912;0
19;15;7424.70524209;7.53761457757;0
19;16;10316.3441259;8.87505063445;0
19;17;12903.0884635;9.91198219667;0
19;18;15142.9026101;10.7258220105;0
20;10;10494.3963683;8.34598462969;0
20;11;2568.39588101;4.16614606716;0
20;12;723.211472032;2.17532531286;0
20;13;2060.93393141;4.05872967824;0
20;14;4769.48630163;6.21950629569;0
20;15;7844.66047466;7.96230187539;0
20;16;10796.2943535;9.31461375248;0
20;17;13429.4455718;10.3606569013;0
20;18;15705.6159801;11.1801521545;0
20;19;17663.1426284;11.8362903087;0
21;10;10329.0324911;8.32029859186;0
21;11;2584.99803839;4.28522487901;0
21;12;885.22935727;2.49149555583;0
21;13;2336.76611561;4.46376182325;0
21;14;5133.31071462;6.6575322151;0
21;15;8276.13491612;8.41021517917;0
21;16;11279.7885239;9.76293756978;0
21;17;13953.1776546;10.8092852958;0
21;18;16260.8714071;11.629019162;0
21;19;18243.6375778;12.2853483644;0
21;20;19976.0746277;12.8287254335;0
22;10;10232.4189592;8.36086372608;0
22;11;2655.13540988;4.47203785066;0
22;12;1088.62348759;2.83155946119;0
22;13;2644.45793649;4.86642939914;0
22;14;5521.63727417;7.07003385168;0
22;15;8726.45493167;8.82618658358;0
22;16;11777.778627;10.1789089742;0
22;17;14488.0411679;11.2252567002;0
22;18;16824.6224331;12.0449905664;0
22;19;18830.5177179;12.7013197688;0
22;20;20582.1034361;13.2446968379;0
22;21;22167.4964479;13.7158416032;0
23;10;10188.9354605;8.48355348286;0
23;11;2773.0172195;4.69800381463;0
23;12;1335.45822961;3.18045250926;0
23;13;2992.22184083;5.26815087216;0
23;14;5947.4316371;7.47547570039;0
23;15;9212.24053265;9.23473145722;0
23;16;12309.6947029;10.587517401;0
23;17;15055.6397444;11.6339142862;0
23;18;17420.1755351;12.4536866649;0
23;19;19448.4529273;13.1100467028;0
23;20;21218.5688646;13.6534493007;0
23;21;22820.0288329;14.1246162011;0
23;22;24341.9386669;14.5563863744;0
24;10;10194.8825277;8.65604947104;0
24;11;2941.60871136;4.94528623027;0
24;12;1634.02484271;3.54944398748;0
24;13;3392.51766524;5.67752966545;0
24;14;6426.37645481;7.89193062386;0
24;15;9751.65212917;9.65321724178;0
24;16;12895.6024431;11.0075648234;0
24;17;15677.5128346;12.055169655;0
24;18;18070.2247417;12.8758883679;0
24;19;20121.0616607;13.5330060989;0
24;20;21909.8547031;14.0770359934;0
24;21;23527.5089879;14.5487468025;0
24;22;25064.2590472;14.9810154055;0
24;23;26600.869625;15.3993229227;0
25;10;10252.8727486;8.84643986338;0
25;11;3166.37512105;5.21251762813;0
25;12;1992.06821769;3.94505978189;0
25;13;3854.87454603;6.10516688597;0
25;14;6969.38030135;8.32775409223;0
25;15;10356.6588321;10.0890407101;0
25;16;13548.286462;11.4433882918;0
25;17;16367.0758551;12.4909931234;0
25;18;18788.6796553;13.3117118362;0
25;19;20862.6491955;13.9688295673;0
25;20;22670.5938099;14.5128594618;0
25;21;24304.8538063;14.9845702709;0
25;22;25856.8210868;15.4168388739;0
25;23;27408.1574115;15.8351463911;0
25;24;29021.0522315;16.2567697637;0
26;10;10365.5203436;9.04789121938;0
26;11;3448.36897718;5.5056776142;0
26;12;2409.39287815;4.35470922885;0
26;13;4378.12021552;6.54121849331;0
26;14;7574.51573115;8.77029373434;0
26;15;11024.7526014;10.5315803523;0
26;16;14264.7922694;11.8859279339;0
26;17;17121.0289809;12.9335327655;0
26;18;19571.969907;13.7542514783;0
26;19;21669.4285493;14.4113692094;0
26;20;23496.8198673;14.9553991039;0
26;21;25147.9414744;15.427109913;0
26;22;26715.3604782;15.859378516;0
26;23;28281.649478;16.2776860332;0
26;24;29909.6155006;16.6993094058;0
26;25;31630.2940945;17.1316435561;0
