spect,MCH1,error,eCH1,MCH2,eCH2
24.5,13.72,3,0.3,13.07,0.3
24.5,15.59,6,0.6,14.98,0.5
25,12.67,3,0.3,11.73,0.3
25.5,14.71,4,0.4,13.88,0.3
25.5,14.69,4,0.4,13.69,0.3
26,13.9,3,0.3,12.95,0.4
26,14.3,4,0.4,13.25,0.3
27,14.82,5,0.5,13.57,0.3
27,15.44,3,0.3,14.01,0.3
27,15.25,3,0.3,14.14,0.3
27,13.1,4,0.4,12.32,0.5
27,14.39,6,0.6,12.95,0.5
27,14.19,4,0.4,13.23,0.3
27,14.39,3,0.3,12.93,0.3
27,14.53,5,0.5,13.6,0.3
27,13.8,5,0.5,12.77,0.3
27.5,15.38,4,0.4,14.04,0.2
27.5,14.01,5,0.5,13.22,0.3
28,13.76,2,0.2,12.96,0.2
28,14.1,4,0.4,12.87,0.3
28,14.41,3,0.3,13.24,0.3
28.5,16.28,3,0.3,14.49,0.3
28.5,15.95,3,0.3,13.91,0.3
28.5,16.44,3,0.3,14.43,0.3
29,14.28,5,0.5,-99.9,0.4
29,14.43,2,0.2,12.39,0.2
30,16.73,4,0.4,14.23,0.2
